t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,5.054999999999999716e+01,5.000000000000000000e+01
1.000000000000000000e+00,9.999999999999998579e+01,5.089999999999999858e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,5.096999999999999886e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,5.103000000000000114e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,5.096999999999999886e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+02,5.113000000000000256e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,5.118999999999999773e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,5.115999999999999659e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+02,5.128999999999999915e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+02,5.135000000000000142e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+02,5.115999999999999659e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,5.135000000000000142e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+02,5.132000000000000028e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+02,5.138000000000000256e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+02,5.154999999999999716e+01,5.000000000000000000e+01
1.500000000000000000e+01,9.999999999999998579e+01,5.157999999999999829e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+02,5.145000000000000284e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+02,5.160999999999999943e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+02,5.164000000000000057e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+02,5.154999999999999716e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+02,5.174000000000000199e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+02,5.179999999999999716e+01,5.000000000000000000e+01
2.200000000000000000e+01,9.999999999999998579e+01,5.177000000000000313e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+02,5.189999999999999858e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+02,5.186999999999999744e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+02,5.189999999999999858e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+02,5.196000000000000085e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+02,5.192999999999999972e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+02,5.186999999999999744e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+02,5.213000000000000256e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+02,5.218999999999999773e+01,5.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+02,5.213000000000000256e+01,5.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+02,5.218999999999999773e+01,5.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+02,5.218999999999999773e+01,5.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+02,5.215999999999999659e+01,5.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+02,5.228999999999999915e+01,5.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+02,5.232000000000000028e+01,5.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+02,5.221999999999999886e+01,5.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+02,5.245000000000000284e+01,5.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+02,5.253999999999999915e+01,5.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+02,5.245000000000000284e+01,5.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+02,5.245000000000000284e+01,5.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+02,5.253999999999999915e+01,5.000000000000000000e+01
4.300000000000000000e+01,1.000000000000000000e+02,5.247999999999999687e+01,5.000000000000000000e+01
4.400000000000000000e+01,1.000000000000000000e+02,5.253999999999999915e+01,5.000000000000000000e+01
4.500000000000000000e+01,1.000000000000000000e+02,5.267000000000000171e+01,5.000000000000000000e+01
4.600000000000000000e+01,1.000000000000000000e+02,5.257999999999999829e+01,5.000000000000000000e+01
4.700000000000000000e+01,1.000000000000000000e+02,5.271000000000000085e+01,5.000000000000000000e+01
4.800000000000000000e+01,1.000000000000000000e+02,5.279999999999999716e+01,5.000000000000000000e+01
4.900000000000000000e+01,1.000000000000000000e+02,5.274000000000000199e+01,5.000000000000000000e+01
5.000000000000000000e+01,1.000000000000000000e+02,5.279999999999999716e+01,5.000000000000000000e+01
5.100000000000000000e+01,1.000000000000000000e+02,5.279999999999999716e+01,5.000000000000000000e+01
5.200000000000000000e+01,1.000000000000000000e+02,5.271000000000000085e+01,5.000000000000000000e+01
5.300000000000000000e+01,1.000000000000000000e+02,5.264000000000000057e+01,5.000000000000000000e+01
5.400000000000000000e+01,1.000000000000000000e+02,5.271000000000000085e+01,5.000000000000000000e+01
5.500000000000000000e+01,1.000000000000000000e+02,5.260999999999999943e+01,5.000000000000000000e+01
5.600000000000000000e+01,1.000000000000000000e+02,5.267000000000000171e+01,5.000000000000000000e+01
5.700000000000000000e+01,1.000000000000000000e+02,5.277000000000000313e+01,5.000000000000000000e+01
5.800000000000000000e+01,1.000000000000000000e+02,5.277000000000000313e+01,5.000000000000000000e+01
5.900000000000000000e+01,1.000000000000000000e+02,5.279999999999999716e+01,5.000000000000000000e+01
6.000000000000000000e+01,1.000000000000000000e+02,5.300000000000000000e+01,5.000000000000000000e+01
6.100000000000000000e+01,9.999999999999998579e+01,5.292999999999999972e+01,5.000000000000000000e+01
6.200000000000000000e+01,1.000000000000000000e+02,5.300000000000000000e+01,5.000000000000000000e+01
6.300000000000000000e+01,1.000000000000000000e+02,5.315999999999999659e+01,5.000000000000000000e+01
6.400000000000000000e+01,1.000000000000000000e+02,5.306000000000000227e+01,5.000000000000000000e+01
6.500000000000000000e+01,1.000000000000000000e+02,5.309000000000000341e+01,5.000000000000000000e+01
6.600000000000000000e+01,1.000000000000000000e+02,5.328999999999999915e+01,5.000000000000000000e+01
6.700000000000000000e+01,1.000000000000000000e+02,5.315999999999999659e+01,5.000000000000000000e+01
6.800000000000000000e+01,1.000000000000000000e+02,5.321999999999999886e+01,5.000000000000000000e+01
6.900000000000000000e+01,1.000000000000000000e+02,5.345000000000000284e+01,5.000000000000000000e+01
7.000000000000000000e+01,1.000000000000000000e+02,5.335000000000000142e+01,5.000000000000000000e+01
