t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,3.539999999999999858e+01,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+02,3.539999999999999858e+01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,3.536999999999999744e+01,1.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,3.534000000000000341e+01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,3.534000000000000341e+01,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+02,3.521000000000000085e+01,1.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,3.521000000000000085e+01,1.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,3.507999999999999829e+01,1.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+02,3.510999999999999943e+01,1.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+02,3.524000000000000199e+01,1.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+02,3.534000000000000341e+01,1.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,3.542999999999999972e+01,1.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+02,3.550000000000000000e+01,1.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+02,3.571999999999999886e+01,1.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+02,3.575000000000000000e+01,1.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+02,3.588000000000000256e+01,1.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+02,3.600999999999999801e+01,1.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+02,3.603999999999999915e+01,1.000000000000000000e+01
1.800000000000000000e+01,9.963638043686069068e+01,3.629999999999999716e+01,1.000000000000000000e+01
1.900000000000000000e+01,9.941484408287422525e+01,3.653000000000000114e+01,1.000000000000000000e+01
2.000000000000000000e+01,9.940123301775710729e+01,3.671999999999999886e+01,1.000000000000000000e+01
2.100000000000000000e+01,9.991152971829514229e+01,3.682000000000000028e+01,1.000000000000000000e+01
2.200000000000000000e+01,9.982675403200974529e+01,3.700999999999999801e+01,1.000000000000000000e+01
2.300000000000000000e+01,9.945778500452573212e+01,3.724000000000000199e+01,1.000000000000000000e+01
2.400000000000000000e+01,9.949199022332940956e+01,3.739999999999999858e+01,1.000000000000000000e+01
2.500000000000000000e+01,9.887172214734803788e+01,3.765999999999999659e+01,1.000000000000000000e+01
2.600000000000000000e+01,9.865671446347546691e+01,3.785000000000000142e+01,1.000000000000000000e+01
2.700000000000000000e+01,9.860113972769752877e+01,3.800999999999999801e+01,1.000000000000000000e+01
2.800000000000000000e+01,9.808283599080168358e+01,3.824000000000000199e+01,1.000000000000000000e+01
2.900000000000000000e+01,9.816236433514592363e+01,3.836999999999999744e+01,1.000000000000000000e+01
3.000000000000000000e+01,9.765778820978549390e+01,3.859000000000000341e+01,1.000000000000000000e+01
3.100000000000000000e+01,9.806603334697065577e+01,3.865999999999999659e+01,1.000000000000000000e+01
3.200000000000000000e+01,9.670772096106276194e+01,3.900999999999999801e+01,1.000000000000000000e+01
3.300000000000000000e+01,9.588460857918482816e+01,3.927000000000000313e+01,1.000000000000000000e+01
