t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.216913947859303846e+02,-2.169583071850250988e+01,4.435932572124127657e-03,5.500000000000000000e+01,3.539999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.216913947859303846e+02,-2.169139494763037845e+01,1.616999938167101734e-07,5.500000000000000000e+01,3.539999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.218776571248884579e+02,-2.187766391458706394e+01,6.789698606773614463e-06,5.500000000000000000e+01,3.536999999999999744e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.220639194638464744e+02,-2.206392625378668626e+01,6.789940212638936182e-06,5.500000000000000000e+01,3.534000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.220639194638464744e+02,-2.206391946409398486e+01,2.475090124901982219e-10,5.500000000000000000e+01,3.534000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.228710562659980639e+02,-2.287108568799982677e+01,2.942200176290737297e-05,5.500000000000000000e+01,3.521000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.228710562659980639e+02,-2.287105626707056416e+01,1.072499959317287718e-09,5.500000000000000000e+01,3.521000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.236781930681496675e+02,-2.367822249015145886e+01,2.942200179298019695e-05,5.500000000000000000e+01,3.507999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.234919307291915942e+02,-2.349192394057138245e+01,-6.788620212474732901e-06,5.500000000000000000e+01,3.510999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.226847939270400047e+02,-2.368931042112999918e+01,-2.942224921478052999e-05,5.500000000000000000e+01,3.524000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.220639194638464744e+02,-2.400780367865526088e+01,-2.263338155042946031e-05,5.500000000000000000e+01,3.534000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.215051324469723255e+02,-2.432746209754364486e+01,-2.036990317636771402e-05,5.500000000000000000e+01,3.542999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.210705203227368543e+02,-2.471433355293370582e+01,-1.584335885906099119e-05,5.500000000000000000e+01,3.550000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.197045965037111159e+02,-2.411658774501921698e+01,-4.979165741823377516e-05,5.500000000000000000e+01,3.571999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,1.195183341647530568e+02,-2.464877033859117361e+01,-6.791507733417938021e-06,5.500000000000000000e+01,3.575000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,1.187111973626014532e+02,-2.451343549366626462e+01,-2.942224932003734006e-05,5.500000000000000000e+01,3.588000000000000256e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,1.179040605604499063e+02,-2.433456879679508944e+01,-2.942307426286683446e-05,5.500000000000000000e+01,3.600999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
