t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.894908861666630173e+02,-8.949779354738247150e+01,6.907380719450426608e-03,5.500000000000000000e+01,2.448000000000000043e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,9.976336672601546240e+01,1.881249623476372790e+02,-8.836154608233191254e+01,-4.953928990081719322e-05,5.500000000000000000e+01,2.469999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.873178255454857037e+02,-8.731779612167812843e+01,-2.942380757548784554e-05,5.500000000000000000e+01,2.482999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.875040878844437486e+02,-8.750409467306388933e+01,6.788620146648982797e-06,5.500000000000000000e+01,2.480000000000000071e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.871315632065276304e+02,-8.713154962738965992e+01,-1.357913796397645355e-05,5.500000000000000000e+01,2.485999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,9.969357275666570217e+01,1.857035519411825248e+02,-8.600992712971103060e+01,-5.205480578629479848e-05,5.500000000000000000e+01,2.508999999999999986e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.855172896022244799e+02,-8.551728281063425641e+01,-6.791590230406152129e-06,5.500000000000000000e+01,2.512000000000000099e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.853310272632664351e+02,-8.533102047332614859e+01,-6.789940281593792858e-06,5.500000000000000000e+01,2.514999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,9.949529686583646537e+01,1.837167536589632562e+02,-8.422139794887577580e+01,-5.884425101678439254e-05,5.500000000000000000e+01,2.541000000000000014e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.822887423936181506e+02,-8.329323625350156135e+01,-5.205645580427449603e-05,5.500000000000000000e+01,2.564000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.807365562356343673e+02,-8.268040650115452195e+01,-5.658267018174204627e-05,5.500000000000000000e+01,2.589000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.797431570945247188e+02,-8.256547090124217902e+01,-3.621375703541168060e-05,5.500000000000000000e+01,2.605000000000000071e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.779426211512634950e+02,-8.158638458980290409e+01,-6.563501629533867216e-05,5.500000000000000000e+01,2.633999999999999986e+01,1.000000000000000000e+01,0.000000000000000000e+00
