t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.537285170867161526e+02,-5.373412084643481279e+01,5.603759718662928470e-03,5.500000000000000000e+01,3.023999999999999844e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,9.929881194653306409e+01,1.521142434824129737e+02,-5.281537289614639974e+01,-5.863973351558052254e-05,5.500000000000000000e+01,3.050000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.521142434824129737e+02,-5.211424348027541953e+01,-2.137553804687898364e-09,5.500000000000000000e+01,3.050000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.523005058213710470e+02,-5.230051261106368088e+01,6.789692634516370493e-06,5.500000000000000000e+01,3.046999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.521142434824129737e+02,-5.211423669296775785e+01,-6.789445212447450932e-06,5.500000000000000000e+01,3.050000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.516796313581775166e+02,-5.167961551531369935e+01,-1.584286381998339309e-05,5.500000000000000000e+01,3.057000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.519279811434549003e+02,-5.192799019580100861e+01,9.052346107580123752e-06,5.500000000000000000e+01,3.053000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.519279811434549003e+02,-5.192798114378487639e+01,3.299789358433618097e-10,5.500000000000000000e+01,3.053000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.513071066802613984e+02,-5.130708404795237243e+01,-2.263230902942065071e-05,5.500000000000000000e+01,3.062999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.506862322170678681e+02,-5.169075550027303478e+01,-2.263313404141796450e-05,5.500000000000000000e+01,3.073000000000000043e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.495065707370001746e+02,-5.145043458297830341e+01,-4.300221220879618889e-05,5.500000000000000000e+01,3.092000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.488856962738066727e+02,-5.170802366040459930e+01,-2.263387657146345754e-05,5.500000000000000000e+01,3.101999999999999957e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.477060347937389508e+02,-5.134982086508242105e+01,-4.300221223586312672e-05,5.500000000000000000e+01,3.121000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.460917611894358288e+02,-5.050374337683030745e+01,-5.884557103778388854e-05,5.500000000000000000e+01,3.146999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,1.450983620483261802e+02,-5.022876879983250831e+01,-3.621383952337751320e-05,5.500000000000000000e+01,3.162999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,1.439187005682584868e+02,-4.972092511886535959e+01,-4.300270725689639211e-05,5.500000000000000000e+01,3.182000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,9.968608461527132647e+01,1.421181646249972630e+02,-4.886255203388161306e+01,-6.563526376826369127e-05,5.500000000000000000e+01,3.210999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,9.969537731809742809e+01,1.406901533596521574e+02,-4.801280392965568211e+01,-5.205670335238430762e-05,5.500000000000000000e+01,3.234000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,9.928315858355695411e+01,1.388896174163909336e+02,-4.717393080116785598e+01,-6.563559380734540797e-05,5.500000000000000000e+01,3.263000000000000256e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,9.926171842234094811e+01,1.375236935973651953e+02,-4.634330765427445442e+01,-4.979347246026887436e-05,5.500000000000000000e+01,3.285000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,9.913624595159338071e+01,1.360956823320201181e+02,-4.552130948813886135e+01,-5.205612588247870748e-05,5.500000000000000000e+01,3.307999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,9.822143368227295923e+01,1.339226217108427761e+02,-4.471243629272167652e+01,-7.921497921116558028e-05,5.500000000000000000e+01,3.342999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,9.738933336942355368e+01,1.318737359823041686e+02,-4.391593806969613212e+01,-7.468950740584364908e-05,5.500000000000000000e+01,3.375999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,9.720473546489282057e+01,1.305078121632784303e+02,-4.312768982826501230e+01,-4.979380249634338693e-05,5.500000000000000000e+01,3.397999999999999687e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,9.711132931411137292e+01,1.292660632368913696e+02,-4.234694157010155635e+01,-4.526643318207575044e-05,5.500000000000000000e+01,3.417999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.667428472996409994e+01,1.277138770789075437e+02,-4.157556829102267670e+01,-5.658242266972553507e-05,5.500000000000000000e+01,3.442999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
