t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.583229881143481919e+02,-5.832875935315376381e+01,5.771238805569655836e-03,5.500000000000000000e+01,2.950000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.580746383290708081e+02,-5.807462948652218415e+01,-8.842548624624245313e-06,5.500000000000000000e+01,2.953999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.577021136511546615e+02,-5.770210007144690678e+01,-1.357970775620303502e-05,5.500000000000000000e+01,2.960000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.580746383290708081e+02,-5.807465190796121846e+01,1.357889041313949910e-05,5.500000000000000000e+01,2.953999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.573295889732385717e+02,-5.732956181496270176e+01,-2.715827586780303075e-05,5.500000000000000000e+01,2.966000000000000014e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.575158513121966166e+02,-5.751585810089934370e+01,6.788702730516238905e-06,5.500000000000000000e+01,2.962999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.575158513121966166e+02,-5.751585131244407734e+01,2.474639034069705110e-10,5.500000000000000000e+01,2.962999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.567087145100450414e+02,-5.670868508804329622e+01,-2.942200174486446666e-05,5.500000000000000000e+01,2.976000000000000156e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.559015777078934661e+02,-5.590154828481921356e+01,-2.942307425384295202e-05,5.500000000000000000e+01,2.989000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.560878400468515110e+02,-5.709239275181089823e+01,6.788620173381056316e-06,5.500000000000000000e+01,2.985999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,9.988323136138687630e+01,1.541010417646322423e+02,-5.616164482829422866e+01,-7.242314147174487625e-05,5.500000000000000000e+01,3.017999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.537285170867161526e+02,-5.655085352516523045e+01,-1.358202541574801576e-05,5.500000000000000000e+01,3.023999999999999844e+01,1.000000000000000000e+01,0.000000000000000000e+00
