t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.377099559363232686e+02,-3.771497578246866311e+01,5.019846145393527630e-03,5.500000000000000000e+01,3.282000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.377099559363232686e+02,-3.770995611930825930e+01,1.829849930027873156e-07,5.500000000000000000e+01,3.282000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.377099559363232686e+02,-3.770995593632994058e+01,6.670225878328229842e-12,5.500000000000000000e+01,3.282000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.377099559363232686e+02,-3.770995593632326859e+01,2.431451483414374026e-16,5.500000000000000000e+01,3.282000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.375236935973651953e+02,-3.752368680767248321e+01,-6.789692712435137987e-06,5.500000000000000000e+01,3.285000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.375236935973651953e+02,-3.752369359711769192e+01,-2.474999905357899363e-10,5.500000000000000000e+01,3.285000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.377099559363232686e+02,-3.770996272601597354e+01,6.789692703413199484e-06,5.500000000000000000e+01,3.282000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.375236935973651953e+02,-3.752368680791997946e+01,-6.789445212444939479e-06,5.500000000000000000e+01,3.285000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.367165567952136485e+02,-3.671652737296440705e+01,-2.942224924485207664e-05,5.500000000000000000e+01,3.297999999999999687e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.360956823320201181e+02,-3.710020561497778147e+01,-2.263338155043055806e-05,5.500000000000000000e+01,3.307999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.357231576541039715e+02,-3.766705092208384542e+01,-1.358021046393417693e-05,5.500000000000000000e+01,3.314000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.349160208519523962e+02,-3.773834144993010398e+01,-2.942249678394075017e-05,5.500000000000000000e+01,3.327000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.341088840498008494e+02,-3.775268370028229015e+01,-2.942307427188746430e-05,5.500000000000000000e+01,3.339999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.331154849086911724e+02,-3.752748972888968382e+01,-3.621276700537498955e-05,5.500000000000000000e+01,3.356000000000000227e+01,1.000000000000000000e+01,0.000000000000000000e+00
