t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.894908861666630173e+02,-8.949779354738247150e+01,6.907380719450426608e-03,5.500000000000000000e+01,2.448000000000000043e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,9.995076085215637818e+01,1.883112246865953239e+02,-8.836042108484176083e+01,-4.274959718838285144e-05,5.500000000000000000e+01,2.467000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.889320991497888542e+02,-8.893212178053957473e+01,2.263075071983693365e-05,5.500000000000000000e+01,2.457000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.883112246865953239e+02,-8.831120205511122379e+01,-2.263148409828592337e-05,5.500000000000000000e+01,2.467000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.887458368108307809e+02,-8.874585265262213341e+01,1.584179135911743623e-05,5.500000000000000000e+01,2.460000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.881249623476372790e+02,-8.812493971590571107e+01,-2.263173157154328772e-05,5.500000000000000000e+01,2.469999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.876903502234018219e+02,-8.769033437996051816e+01,-1.584344130793314298e-05,5.500000000000000000e+01,2.476999999999999957e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.871315632065276304e+02,-8.713154283687195800e+01,-2.036965566735494089e-05,5.500000000000000000e+01,2.485999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.873178255454857037e+02,-8.731783233443589154e+01,6.788950191411234474e-06,5.500000000000000000e+01,2.482999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.861381640654180103e+02,-8.714266698061751981e+01,-4.300113970583065490e-05,5.500000000000000000e+01,2.501999999999999957e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.871315632065276304e+02,-8.907550626484494671e+01,3.621012697540034175e-05,5.500000000000000000e+01,2.485999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.855172896022244799e+02,-8.833958078001541026e+01,-5.884268356495852621e-05,5.500000000000000000e+01,2.512000000000000099e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.855172896022244799e+02,-8.916111867363522947e+01,-2.144951803010900079e-09,5.500000000000000000e+01,2.512000000000000099e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.845238904611148314e+02,-8.893589528238580044e+01,-3.621169454450789429e-05,5.500000000000000000e+01,2.528000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,1.835304913200052113e+02,-8.866089807233659315e+01,-3.621301446627181556e-05,5.500000000000000000e+01,2.544000000000000128e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,1.837167536589632562e+02,-8.951902800065003873e+01,6.788372664368573715e-06,5.500000000000000000e+01,2.541000000000000014e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,1.822887423936181506e+02,-8.871922799897424738e+01,-5.205406334346251464e-05,5.500000000000000000e+01,2.564000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,1.819162177157020608e+02,-8.893428407922345968e+01,-1.358128291577673584e-05,5.500000000000000000e+01,2.569999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,1.811090809135504855e+02,-8.867658909498135245e+01,-2.942249682303329258e-05,5.500000000000000000e+01,2.582999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,1.803019441113988819e+02,-8.838329696104727873e+01,-2.942307427189050007e-05,5.500000000000000000e+01,2.596000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,1.797431570945247188e+02,-8.830506188821203750e+01,-2.037015067635938298e-05,5.500000000000000000e+01,2.605000000000000071e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,1.789360202923731435e+02,-8.794731834875992149e+01,-2.942274429295242894e-05,5.500000000000000000e+01,2.617999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,1.776942713659861113e+02,-8.712583624661840531e+01,-4.526569060992534734e-05,5.500000000000000000e+01,2.637999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,1.771354843491119482e+02,-8.696012690206565310e+01,-2.037072817633762753e-05,5.500000000000000000e+01,2.646999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,1.758937354227248591e+02,-8.608594307111896171e+01,-4.526536064301924710e-05,5.500000000000000000e+01,2.667000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,1.755212107448087693e+02,-8.605722968827522834e+01,-1.358103545187442518e-05,5.500000000000000000e+01,2.673000000000000043e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,1.749003362816152674e+02,-8.575786056251497769e+01,-2.263280410157751459e-05,5.500000000000000000e+01,2.682999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,9.973300688514815704e+01,1.732860626773120885e+02,-8.471123789751295874e+01,-5.884482852578392422e-05,5.500000000000000000e+01,2.708999999999999986e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,1.722926635362024399e+02,-8.373209304552862875e+01,-3.621383949631123267e-05,5.500000000000000000e+01,2.725000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,1.714855267340508931e+02,-8.318798193995301915e+01,-2.942332183202511664e-05,5.500000000000000000e+01,2.737999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,1.707404773782186567e+02,-8.268892928240620677e+01,-2.715984339781866768e-05,5.500000000000000000e+01,2.750000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,1.694987284518315960e+02,-8.167723693098604087e+01,-4.526560812195809850e-05,5.500000000000000000e+01,2.769999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,1.685053293107219758e+02,-8.089903478438787943e+01,-3.621334450234555563e-05,5.500000000000000000e+01,2.785999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,1.673256678306542824e+02,-7.992063368661300160e+01,-4.300270723885173075e-05,5.500000000000000000e+01,2.805000000000000071e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,9.994962124525626734e+01,1.660839189042672217e+02,-7.891751092456341610e+01,-4.526618563095839590e-05,5.500000000000000000e+01,2.825000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+02,1.658976565653091768e+02,-7.885698512567573459e+01,-6.791342769512800651e-06,5.500000000000000000e+01,2.828000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,9.954261592015572546e+01,1.642833829610060263e+02,-7.786473733936425390e+01,-5.884425106790751330e-05,5.500000000000000000e+01,2.853999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+02,1.640971206220479530e+02,-7.737519229624884076e+01,-6.791837721377262400e-06,5.500000000000000000e+01,2.857000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+02,1.632899838198963778e+02,-7.671212834455094765e+01,-2.942224933206536377e-05,5.500000000000000000e+01,2.869999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,9.993423519471596705e+01,1.621103223398286843e+02,-7.573300552895787519e+01,-4.300245968773836743e-05,5.500000000000000000e+01,2.889000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,9.985265482947711746e+01,1.609306608597609909e+02,-7.476100769746906849e+01,-4.300295471778927433e-05,5.500000000000000000e+01,2.907999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+02,1.604960487355255339e+02,-7.429702138115041521e+01,-1.584418388609528449e-05,5.500000000000000000e+01,2.914999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,9.989289161176171206e+01,1.593163872554578404e+02,-7.333477352790957582e+01,-4.300196473587357534e-05,5.500000000000000000e+01,2.933999999999999986e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,9.933431478109493185e+01,1.577021136511546615e+02,-7.238227565291668952e+01,-5.884557102876273693e-05,5.500000000000000000e+01,2.960000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+02,1.575158513121966166e+02,-7.162693895885372797e+01,-6.791837769492081278e-06,5.500000000000000000e+01,2.962999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,9.979242012746068724e+01,1.562741023858095843e+02,-7.068306606461865726e+01,-4.526486566108191902e-05,5.500000000000000000e+01,2.982999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+02,1.557153153689353928e+02,-7.000123825718702619e+01,-2.037072814626714136e-05,5.500000000000000000e+01,2.992000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,9.958290124369555940e+01,1.542873041035903157e+02,-6.906936533618021201e+01,-5.205505335545168474e-05,5.500000000000000000e+01,3.014999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+02,1.537285170867161526e+02,-6.816749263069964115e+01,-2.037097566430010726e-05,5.500000000000000000e+01,3.023999999999999844e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,9.993583986006657938e+01,1.526730304992871368e+02,-6.724536968794078007e+01,-3.847566793960560970e-05,5.500000000000000000e+01,3.041000000000000014e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+02,1.521142434824129737e+02,-6.668721116104650548e+01,-2.037048066431936465e-05,5.500000000000000000e+01,3.050000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+02,1.513071066802613984e+02,-6.594067340169900149e+01,-2.942274430498125225e-05,5.500000000000000000e+01,3.062999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+02,1.504999698781097948e+02,-6.519025218558314805e+01,-2.942307428091178720e-05,5.500000000000000000e+01,3.076000000000000156e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,9.977527340896898522e+01,1.493203083980421297e+02,-6.428837919764697517e+01,-4.300245971780886377e-05,5.500000000000000000e+01,3.094999999999999929e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+02,1.486994339348485994e+02,-6.349246990833047732e+01,-2.263387658048654038e-05,5.500000000000000000e+01,3.105000000000000071e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,9.994519830594535392e+01,1.477060347937389508e+02,-6.260034689864226465e+01,-3.621251952342831738e-05,5.500000000000000000e+01,3.121000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,1.000000000000000000e+02,1.468988979915873756e+02,-6.178192620752101760e+01,-2.942332178390905770e-05,5.500000000000000000e+01,3.133999999999999986e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,9.974117497924723352e+01,1.457192365115196822e+02,-6.090180317106106145e+01,-4.300245972683171622e-05,5.500000000000000000e+01,3.153000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,1.000000000000000000e+02,1.450983620483261802e+02,-6.006024750540616708e+01,-2.263387658048606266e-05,5.500000000000000000e+01,3.162999999999999901e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,9.928800189865748393e+01,1.434840884440230013e+02,-5.919362443882799596e+01,-5.884482856487826234e-05,5.500000000000000000e+01,3.189000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000000e+02,1.432978261050649564e+02,-5.832882769484733387e+01,-6.791837742428361327e-06,5.500000000000000000e+01,3.192000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.100000000000000000e+01,1.000000000000000000e+02,1.424906893029134096e+02,-5.755295045925086583e+01,-2.942224933206532311e-05,5.500000000000000000e+01,3.204999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
