t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,3.282000000000000028e+01,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+02,3.282000000000000028e+01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,3.282000000000000028e+01,1.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,3.282000000000000028e+01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,3.285000000000000142e+01,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+02,3.285000000000000142e+01,1.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,3.282000000000000028e+01,1.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,3.285000000000000142e+01,1.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+02,3.297999999999999687e+01,1.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+02,3.307999999999999829e+01,1.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+02,3.314000000000000057e+01,1.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,3.327000000000000313e+01,1.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+02,3.339999999999999858e+01,1.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+02,3.356000000000000227e+01,1.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+02,3.371999999999999886e+01,1.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+02,3.392000000000000171e+01,1.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+02,3.407999999999999829e+01,1.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+02,3.424000000000000199e+01,1.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+02,3.439999999999999858e+01,1.000000000000000000e+01
1.900000000000000000e+01,9.966229673132880862e+01,3.465999999999999659e+01,1.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+02,3.478999999999999915e+01,1.000000000000000000e+01
2.100000000000000000e+01,9.958322262315448370e+01,3.504999999999999716e+01,1.000000000000000000e+01
2.200000000000000000e+01,9.937746387112420621e+01,3.527000000000000313e+01,1.000000000000000000e+01
2.300000000000000000e+01,9.932361032377093579e+01,3.546000000000000085e+01,1.000000000000000000e+01
2.400000000000000000e+01,9.879990925499927812e+01,3.571999999999999886e+01,1.000000000000000000e+01
2.500000000000000000e+01,9.824266366904291203e+01,3.597999999999999687e+01,1.000000000000000000e+01
2.600000000000000000e+01,9.827804997075955384e+01,3.614000000000000057e+01,1.000000000000000000e+01
2.700000000000000000e+01,9.747455209109494945e+01,3.642999999999999972e+01,1.000000000000000000e+01
2.800000000000000000e+01,9.664073938934130581e+01,3.671999999999999886e+01,1.000000000000000000e+01
2.900000000000000000e+01,9.634002822474454319e+01,3.692000000000000171e+01,1.000000000000000000e+01
3.000000000000000000e+01,9.607723694740938924e+01,3.710999999999999943e+01,1.000000000000000000e+01
3.100000000000000000e+01,9.535414570700837089e+01,3.736999999999999744e+01,1.000000000000000000e+01
3.200000000000000000e+01,9.423164533880759564e+01,3.768999999999999773e+01,1.000000000000000000e+01
3.300000000000000000e+01,9.470732023025131241e+01,3.775000000000000000e+01,1.000000000000000000e+01
3.400000000000000000e+01,9.391837461892953343e+01,3.800999999999999801e+01,1.000000000000000000e+01
3.500000000000000000e+01,9.310755143163794401e+01,3.827000000000000313e+01,1.000000000000000000e+01
3.600000000000000000e+01,9.271284820090008338e+01,3.846000000000000085e+01,1.000000000000000000e+01
3.700000000000000000e+01,9.248775380328558526e+01,3.861999999999999744e+01,1.000000000000000000e+01
3.800000000000000000e+01,9.162205170023209178e+01,3.888000000000000256e+01,1.000000000000000000e+01
3.900000000000000000e+01,9.136196129311697689e+01,3.903999999999999915e+01,1.000000000000000000e+01
4.000000000000000000e+01,9.083728528111274159e+01,3.924000000000000199e+01,1.000000000000000000e+01
4.100000000000000000e+01,8.973479649427844151e+01,3.953000000000000114e+01,1.000000000000000000e+01
4.200000000000000000e+01,8.942588288812200403e+01,3.968999999999999773e+01,1.000000000000000000e+01
4.300000000000000000e+01,8.872903397214535914e+01,3.990999999999999659e+01,1.000000000000000000e+01
4.400000000000000000e+01,8.795482800951610614e+01,4.014000000000000057e+01,1.000000000000000000e+01
4.500000000000000000e+01,8.697838102678242933e+01,4.039999999999999858e+01,1.000000000000000000e+01
4.600000000000000000e+01,8.642362337053786803e+01,4.059000000000000341e+01,1.000000000000000000e+01
4.700000000000000000e+01,8.504424076210995054e+01,4.090999999999999659e+01,1.000000000000000000e+01
4.800000000000000000e+01,8.483462717333638636e+01,4.103999999999999915e+01,1.000000000000000000e+01
4.900000000000000000e+01,8.442794170081369032e+01,4.120000000000000284e+01,1.000000000000000000e+01
5.000000000000000000e+01,8.357355898237182146e+01,4.142999999999999972e+01,1.000000000000000000e+01
5.100000000000000000e+01,8.314365765531042030e+01,4.159000000000000341e+01,1.000000000000000000e+01
5.200000000000000000e+01,8.351588920540874028e+01,4.161999999999999744e+01,1.000000000000000000e+01
5.300000000000000000e+01,8.288389089409956512e+01,4.181000000000000227e+01,1.000000000000000000e+01
5.400000000000000000e+01,8.242879384600850301e+01,4.196999999999999886e+01,1.000000000000000000e+01
5.500000000000000000e+01,8.190204193604616023e+01,4.214000000000000057e+01,1.000000000000000000e+01
5.600000000000000000e+01,8.142840501130369546e+01,4.229999999999999716e+01,1.000000000000000000e+01
5.700000000000000000e+01,8.138323478365222741e+01,4.239000000000000057e+01,1.000000000000000000e+01
5.800000000000000000e+01,8.064495837525419120e+01,4.259000000000000341e+01,1.000000000000000000e+01
5.900000000000000000e+01,7.995923678150865044e+01,4.278000000000000114e+01,1.000000000000000000e+01
