t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,2.448000000000000043e+01,1.000000000000000000e+01
1.000000000000000000e+00,9.976336672601546240e+01,2.469999999999999929e+01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,2.482999999999999829e+01,1.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,2.480000000000000071e+01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,2.485999999999999943e+01,1.000000000000000000e+01
5.000000000000000000e+00,9.969357275666570217e+01,2.508999999999999986e+01,1.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,2.512000000000000099e+01,1.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,2.514999999999999858e+01,1.000000000000000000e+01
8.000000000000000000e+00,9.949529686583646537e+01,2.541000000000000014e+01,1.000000000000000000e+01
9.000000000000000000e+00,9.916828993197913178e+01,2.564000000000000057e+01,1.000000000000000000e+01
1.000000000000000000e+01,9.870772181238895371e+01,2.589000000000000057e+01,1.000000000000000000e+01
1.100000000000000000e+01,9.879996561818630596e+01,2.605000000000000071e+01,1.000000000000000000e+01
1.200000000000000000e+01,9.807414785592158069e+01,2.633999999999999986e+01,1.000000000000000000e+01
1.300000000000000000e+01,9.752487866424645802e+01,2.660000000000000142e+01,1.000000000000000000e+01
1.400000000000000000e+01,9.659106445366876414e+01,2.692000000000000171e+01,1.000000000000000000e+01
1.500000000000000000e+01,9.683209331406492026e+01,2.705000000000000071e+01,1.000000000000000000e+01
1.600000000000000000e+01,9.525672763331685644e+01,2.746999999999999886e+01,1.000000000000000000e+01
1.700000000000000000e+01,9.466511295686123617e+01,2.773000000000000043e+01,1.000000000000000000e+01
1.800000000000000000e+01,9.368892384189371114e+01,2.805000000000000071e+01,1.000000000000000000e+01
1.900000000000000000e+01,9.307553658355033122e+01,2.830999999999999872e+01,1.000000000000000000e+01
2.000000000000000000e+01,9.226499164242254380e+01,2.860000000000000142e+01,1.000000000000000000e+01
2.100000000000000000e+01,9.100632555351147346e+01,2.896000000000000085e+01,1.000000000000000000e+01
2.200000000000000000e+01,9.042128713285491415e+01,2.921000000000000085e+01,1.000000000000000000e+01
2.300000000000000000e+01,8.957699000420426216e+01,2.950000000000000000e+01,1.000000000000000000e+01
2.400000000000000000e+01,8.872182695150171128e+01,2.978999999999999915e+01,1.000000000000000000e+01
2.500000000000000000e+01,8.741853596239549518e+01,3.014999999999999858e+01,1.000000000000000000e+01
2.600000000000000000e+01,8.635161968030089952e+01,3.046999999999999886e+01,1.000000000000000000e+01
2.700000000000000000e+01,8.564748262524373956e+01,3.073000000000000043e+01,1.000000000000000000e+01
2.800000000000000000e+01,8.474618788657734569e+01,3.101999999999999957e+01,1.000000000000000000e+01
2.900000000000000000e+01,8.383402496112303481e+01,3.130999999999999872e+01,1.000000000000000000e+01
3.000000000000000000e+01,8.334824002117352393e+01,3.153000000000000114e+01,1.000000000000000000e+01
3.100000000000000000e+01,8.260433042273625404e+01,3.178999999999999915e+01,1.000000000000000000e+01
3.200000000000000000e+01,8.103863868478987342e+01,3.217999999999999972e+01,1.000000000000000000e+01
3.300000000000000000e+01,8.052025144886262353e+01,3.239999999999999858e+01,1.000000000000000000e+01
3.400000000000000000e+01,7.974371692403597933e+01,3.265999999999999659e+01,1.000000000000000000e+01
3.500000000000000000e+01,7.895744147215258124e+01,3.292000000000000171e+01,1.000000000000000000e+01
3.600000000000000000e+01,7.816141604235117768e+01,3.317999999999999972e+01,1.000000000000000000e+01
3.700000000000000000e+01,7.716824650816089104e+01,3.346999999999999886e+01,1.000000000000000000e+01
3.800000000000000000e+01,7.641406762253228635e+01,3.371999999999999886e+01,1.000000000000000000e+01
3.900000000000000000e+01,7.577543412290025060e+01,3.395000000000000284e+01,1.000000000000000000e+01
4.000000000000000000e+01,7.494077698974270163e+01,3.421000000000000085e+01,1.000000000000000000e+01
4.100000000000000000e+01,7.353419428919463030e+01,3.456000000000000227e+01,1.000000000000000000e+01
4.200000000000000000e+01,7.305147761721590882e+01,3.475999999999999801e+01,1.000000000000000000e+01
4.300000000000000000e+01,7.262369172419953145e+01,3.495000000000000284e+01,1.000000000000000000e+01
4.400000000000000000e+01,7.200138445655215946e+01,3.517000000000000171e+01,1.000000000000000000e+01
4.500000000000000000e+01,7.112097516181846402e+01,3.542999999999999972e+01,1.000000000000000000e+01
4.600000000000000000e+01,7.060561319395974067e+01,3.563000000000000256e+01,1.000000000000000000e+01
4.700000000000000000e+01,6.914576703356837584e+01,3.597999999999999687e+01,1.000000000000000000e+01
4.800000000000000000e+01,6.904705344088974073e+01,3.610999999999999943e+01,1.000000000000000000e+01
