t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,3.023999999999999844e+01,1.000000000000000000e+01
1.000000000000000000e+00,9.929881194653306409e+01,3.050000000000000000e+01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,3.050000000000000000e+01,1.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,3.046999999999999886e+01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,3.050000000000000000e+01,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+02,3.057000000000000028e+01,1.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,3.053000000000000114e+01,1.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,3.053000000000000114e+01,1.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+02,3.062999999999999901e+01,1.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+02,3.073000000000000043e+01,1.000000000000000000e+01
1.000000000000000000e+01,9.972331613628045943e+01,3.092000000000000171e+01,1.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,3.101999999999999957e+01,1.000000000000000000e+01
1.200000000000000000e+01,9.971244116128482915e+01,3.121000000000000085e+01,1.000000000000000000e+01
1.300000000000000000e+01,9.898052474506316400e+01,3.146999999999999886e+01,1.000000000000000000e+01
1.400000000000000000e+01,9.886352128051116495e+01,3.162999999999999901e+01,1.000000000000000000e+01
1.500000000000000000e+01,9.855310107229757932e+01,3.182000000000000028e+01,1.000000000000000000e+01
1.600000000000000000e+01,9.761091558146360114e+01,3.210999999999999943e+01,1.000000000000000000e+01
1.700000000000000000e+01,9.703266599890483235e+01,3.234000000000000341e+01,1.000000000000000000e+01
1.800000000000000000e+01,9.607098960524098175e+01,3.263000000000000256e+01,1.000000000000000000e+01
1.900000000000000000e+01,9.553570477523000193e+01,3.285000000000000142e+01,1.000000000000000000e+01
2.000000000000000000e+01,9.492968941336708610e+01,3.307999999999999829e+01,1.000000000000000000e+01
2.100000000000000000e+01,9.356547482875360799e+01,3.342999999999999972e+01,1.000000000000000000e+01
2.200000000000000000e+01,9.231309184871234663e+01,3.375999999999999801e+01,1.000000000000000000e+01
2.300000000000000000e+01,9.173544116682263905e+01,3.397999999999999687e+01,1.000000000000000000e+01
2.400000000000000000e+01,9.127444502596834752e+01,3.417999999999999972e+01,1.000000000000000000e+01
2.500000000000000000e+01,9.049362083107391186e+01,3.442999999999999972e+01,1.000000000000000000e+01
2.600000000000000000e+01,8.920371530296280582e+01,3.475999999999999801e+01,1.000000000000000000e+01
2.700000000000000000e+01,8.815131174291433069e+01,3.504999999999999716e+01,1.000000000000000000e+01
2.800000000000000000e+01,8.652584177677135813e+01,3.542999999999999972e+01,1.000000000000000000e+01
2.900000000000000000e+01,8.682254818054832413e+01,3.550000000000000000e+01,1.000000000000000000e+01
3.000000000000000000e+01,8.493029462834617505e+01,3.592000000000000171e+01,1.000000000000000000e+01
3.100000000000000000e+01,8.408427036705055002e+01,3.617000000000000171e+01,1.000000000000000000e+01
3.200000000000000000e+01,8.379101503445758681e+01,3.632999999999999829e+01,1.000000000000000000e+01
3.300000000000000000e+01,8.261723342352151178e+01,3.663000000000000256e+01,1.000000000000000000e+01
3.400000000000000000e+01,8.174455706458728343e+01,3.688000000000000256e+01,1.000000000000000000e+01
3.500000000000000000e+01,8.036277674227230250e+01,3.721000000000000085e+01,1.000000000000000000e+01
3.600000000000000000e+01,8.028039843532690156e+01,3.732999999999999829e+01,1.000000000000000000e+01
3.700000000000000000e+01,7.931896669097338304e+01,3.759000000000000341e+01,1.000000000000000000e+01
3.800000000000000000e+01,7.853521077685810781e+01,3.782000000000000028e+01,1.000000000000000000e+01
3.900000000000000000e+01,7.680585246299006030e+01,3.820000000000000284e+01,1.000000000000000000e+01
4.000000000000000000e+01,7.637403701087859531e+01,3.836999999999999744e+01,1.000000000000000000e+01
4.100000000000000000e+01,7.543608137840139705e+01,3.861999999999999744e+01,1.000000000000000000e+01
4.200000000000000000e+01,7.398905120058532248e+01,3.895000000000000284e+01,1.000000000000000000e+01
4.300000000000000000e+01,7.302938182593391048e+01,3.920000000000000284e+01,1.000000000000000000e+01
4.400000000000000000e+01,7.237264291123891269e+01,3.939999999999999858e+01,1.000000000000000000e+01
4.500000000000000000e+01,7.258289861886517258e+01,3.946000000000000085e+01,1.000000000000000000e+01
4.600000000000000000e+01,7.116679022046638181e+01,3.978000000000000114e+01,1.000000000000000000e+01
4.700000000000000000e+01,6.992613481568378120e+01,4.007000000000000028e+01,1.000000000000000000e+01
4.800000000000000000e+01,6.967403298728095251e+01,4.020000000000000284e+01,1.000000000000000000e+01
4.900000000000000000e+01,6.879237287199590867e+01,4.042999999999999972e+01,1.000000000000000000e+01
5.000000000000000000e+01,6.852675749325348420e+01,4.056000000000000227e+01,1.000000000000000000e+01
5.100000000000000000e+01,6.806885036858709270e+01,4.071999999999999886e+01,1.000000000000000000e+01
5.200000000000000000e+01,6.698030295879043194e+01,4.097999999999999687e+01,1.000000000000000000e+01
5.300000000000000000e+01,6.675653412446823154e+01,4.110000000000000142e+01,1.000000000000000000e+01
5.400000000000000000e+01,6.602851594722368134e+01,4.129999999999999716e+01,1.000000000000000000e+01
5.500000000000000000e+01,6.535548059945737975e+01,4.149000000000000199e+01,1.000000000000000000e+01
5.600000000000000000e+01,6.423806504410288198e+01,4.175000000000000000e+01,1.000000000000000000e+01
5.700000000000000000e+01,6.436020952672956241e+01,4.181000000000000227e+01,1.000000000000000000e+01
5.800000000000000000e+01,6.323076457771255576e+01,4.207000000000000028e+01,1.000000000000000000e+01
5.900000000000000000e+01,6.252886787276123925e+01,4.225999999999999801e+01,1.000000000000000000e+01
6.000000000000000000e+01,6.194475976074394907e+01,4.242999999999999972e+01,1.000000000000000000e+01
6.100000000000000000e+01,6.166659567964314448e+01,4.254999999999999716e+01,1.000000000000000000e+01
6.200000000000000000e+01,6.088420262296556729e+01,4.275000000000000000e+01,1.000000000000000000e+01
6.300000000000000000e+01,6.134362186206787015e+01,4.275000000000000000e+01,1.000000000000000000e+01
6.400000000000000000e+01,6.099095462558472747e+01,4.288000000000000256e+01,1.000000000000000000e+01
6.500000000000000000e+01,6.063344181925697285e+01,4.300999999999999801e+01,1.000000000000000000e+01
6.600000000000000000e+01,6.070830698587309371e+01,4.307000000000000028e+01,1.000000000000000000e+01
6.700000000000000000e+01,6.134308869389288787e+01,4.303999999999999915e+01,1.000000000000000000e+01
6.800000000000000000e+01,6.016749847779418303e+01,4.329999999999999716e+01,1.000000000000000000e+01
6.900000000000000000e+01,6.085616517541791382e+01,4.325999999999999801e+01,1.000000000000000000e+01
7.000000000000000000e+01,6.085915218178539732e+01,4.332999999999999829e+01,1.000000000000000000e+01
7.100000000000000000e+01,5.992256845546224753e+01,4.354999999999999716e+01,1.000000000000000000e+01
7.200000000000000000e+01,5.972734520024177129e+01,4.364999999999999858e+01,1.000000000000000000e+01
7.300000000000000000e+01,6.077763897111690028e+01,4.354999999999999716e+01,1.000000000000000000e+01
7.400000000000000000e+01,5.914565499498132084e+01,4.388000000000000256e+01,1.000000000000000000e+01
7.500000000000000000e+01,5.918794049545384439e+01,4.393999999999999773e+01,1.000000000000000000e+01
7.600000000000000000e+01,5.841587368620908904e+01,4.413000000000000256e+01,1.000000000000000000e+01
7.700000000000000000e+01,5.857368194226663149e+01,4.417000000000000171e+01,1.000000000000000000e+01
7.800000000000000000e+01,5.897981509037153103e+01,4.417000000000000171e+01,1.000000000000000000e+01
7.900000000000000000e+01,5.801171559294533608e+01,4.439000000000000057e+01,1.000000000000000000e+01
8.000000000000000000e+01,5.878442774684148731e+01,4.432999999999999829e+01,1.000000000000000000e+01
8.100000000000000000e+01,5.837249706381834358e+01,4.446000000000000085e+01,1.000000000000000000e+01
8.200000000000000000e+01,5.876777560245838572e+01,4.446000000000000085e+01,1.000000000000000000e+01
8.300000000000000000e+01,5.878823646945469505e+01,4.452000000000000313e+01,1.000000000000000000e+01
8.400000000000000000e+01,5.880646091928876018e+01,4.457999999999999829e+01,1.000000000000000000e+01
8.500000000000000000e+01,5.919722362691927486e+01,4.457999999999999829e+01,1.000000000000000000e+01
8.600000000000000000e+01,5.896332566852298385e+01,4.467999999999999972e+01,1.000000000000000000e+01
8.700000000000000000e+01,5.835091209720007299e+01,4.484000000000000341e+01,1.000000000000000000e+01
8.800000000000000000e+01,5.848208862354211135e+01,4.488000000000000256e+01,1.000000000000000000e+01
